Word,Follower,Count
fawn,johnson,1
constanța,working,1
belligerence,toward,1
thought­ful,fear­less,1
sonja,erchak,1
woods,with,1
francesco,ratta,1
woody,white,1
trawling,the,1
localized,suggesting,1
regularize,their,2
disobeying,anyone,1
gad,a,1
massachusetts's,furlough,1
gac,says,2
hordes,of,4
scold,another,1
gab,es,1
diplomat's,home,1
6y7b3uljxe,nasa,2
hermann,winkler,1
hangwani,mulaudzi,2
wracked,up,2
battles,in,9
franklin's,affair,1
stipulate,that,1
bratislava,the,2
dongen,jan,1
appropriation,from,3
holyrood,palace,2
taj,majal,1
strictest,in,1
broward,county,1
bringing,the,22
elevates,that,1
atatürk,the,5
wooden,boat,4
wednesday,the,107
ex­press­ing,a,2
taban,deng,1
immunities,of,1
guardsmen,were,1
coordinate,with,6
insular,cases,1
tillich,who,1
hanging,in,5
deutschlandtrend,poll,1
271,in,1
272,people,5
273,wounded,1
274,children,2
275,billion,3
276,adults,1
sustaining,independent,1
278,public,1
279,kilogrammes,1
scraped,double,1
glossip,v,2
errors,of,5
deferred,to,6
centimeter,anal,2
cooking,a,1
hp,executive,1
warmongering,of,1
designing,and,1
jen­nifer,agi­esta,1
succumb,to,5
shocks,in,1
chins,of,1
mailings,the,1
machine…,on,1
brainwashed,a,1
affiliates,in,3
quagmires,for,1
ching,25,1
china,sea,146
affiliated,with,18
confronts,the,2
natured,twitter,2
kids,and,12
uplifting,as,1
slaveholders,on,1
climbed,to,3
controversy,over,17
hor­rendous,at­tacks,1
neurologist,at,1
spotty,sometimes,1
climber,russell,1
golden,division,11
960,metre,1
projection,president,2
darkow,first,1
birrell,is,1
stern,magazine,4
axiom's,actions,1
battista,one,2
ocr's,decision,1
cops',files,1
dna,analysis,1
dnc,had,5
catchy,umbrella,1
insecurity,and,2
l'jean,mckneely,1
dni,―,1
music,was,6
therefore,i,5
mystic,the,2
reasserting,his,2
sermons,in,2
pinpoints,a,1
populations,and,7
manchester's,old,1
eeas,when,1
yahoo,news,8
meteorologist,at,1
rapinoe,rebecca,1
wałęsa's,role,1
nzobonariba,said,1
unpack,that,1
circumstances,of,11
intake,of,1
morally,and,3
locked,in,16
kampala,reuters,3
fáil's,spokesman,1
abducting,free,1
supplicative,nigel,1
advert,published,2
locker,rooms,3
beavers,according,1
ozment,the,2
radicalisation,when,1
tomahawk,cruise,1
sectarianism,and,3
india's,defence,4
post's,ed,1
wang,told,3
wand,a,1
wane,amid,1
unjust,and,2
wani,the,2
disparagement,clause,1
titanium,forward,2
want,to,733
stillbirths,which,1
absolute,majority,12
beschizza,the,2
jaslow,executive,1
beyer,ted,1
travel,to,72
copious,amounts,1
lisa,murkowski,18
industrialised,countries,1
canaries,in,1
cadence,is,1
eurogroup,meeting,1
kemalists,turkey's,1
stingier,than,1
festus,mogae,1
dinosaurs,lovingly,1
wrong,and,19
sentencing,laws,10
colrat,who,1
gautreaux,told,1
sohae,satellite,1
colorfully,rendered,1
shabib,al,1
kuching,based,1
beide,musste,1
amaya,rodriguez,1
attash's,cell,1
'new,urban,1
sickening,risk,1
tulip,siddiq,1
tulis,found,1
18th,birthday,2
torts,they,1
farmlands,plant,1
nonsensical,statement,1
fairey's,iconic,1
disengaging,is,1
böhmermann,from,2
pittenger,land,2
welcomed,the,21
concurrence,in,2
partnered,with,2
620,000,3
peul,ethnic,1
rewarded,with,1
wherein,whites,1
gothom,arya,1
forfriends,that,1
grzegorz,schetyna,2
welcomes,the,2
series's,third,1
fit,the,9
lifeline,for,4
screaming,in,2
fix,the,21
cissexist,misogynistic,1
secede,from,2
cipd,showed,2
hulio,who,1
meas­ure,whites,1
fig,tree,1
wales,over,1
shinawatra,and,3
fin,de,1
jakkapong,army,1
yahya,jammeh,2
zucker,would,1
bristle,at,3
songwriter,who,1
municipality,to,3
hussein's,nuclear,2
vouchers,in,1
recollections,of,1
effects,of,31
clichéd,and,1
multidimensional,characters,1
sixteen,years,3
undeveloped,land,1
saddened,by,5
grueling,and,1
£184,to,1
barton,r,2
arron,banks,3
disconnection,from,1
arrow,from,1
ingrid,isgren,1
arroz,con,1
development,of,33
telescope,each,1
allak,a,1
allah,as,1
allan,carlson,2
parasites,on,2
390,each,1
397,registered,1
allay,concerns,2
398,1,1
stabilised,at,1
breastfed,babies,1
golem,of,1
karypidis,and,2
unclos,european,1
touts,his,2
oprah,as,3
smirk,i,1
mairead,mcguinness,3
persisted,in,3
mason,university,4
unclog,their,1
encourage,the,12
adapt,to,8
wisqars,its,1
tennessean,it,2
abbott,said,5
stamping,out,4
abbots,and,1
strate,school,1
retaliations,said,1
mahjoubi,who,1
corrects,the,3
stratt,it,1
estimate,that,6
kiziltepe,district,1
universally,accepted,2
chlorine,barrel,1
competes,with,1
festered,for,1
selfe,a,1
pfaff,said,10
ministries,and,2
disturbed,by,5
competed,as,1
manifesto,says,2
barbour,a,2
inkster,now,1
guardians',consent,1
juergen,hardt,1
yucel,are,1
reintroduced,into,1
maladies,is,1
chawada,who,1
chevron,politico's,1
carcetti,on,1
di­vide,that,1
specially,designated,1
seizures,of,2
olds,in,3
service,and,25
'what's,happening,1
darbasiyah,into,1
needed,to,171
phan,gillis,6
master,of,5
upnd's,charge,1
critter,crises,1
genesis,of,1
jizan,and,1
rewards,of,2
treyger,at,1
reclassifying,drug,1
exulted,obama,1
organically,evolve,1
madison,famously,1
tapper's,follow,1
tugs,and,1
mutilated,the,1
jbs,sa,1
positively,but,2
270,000,3
ahmed,al,5
nevsin,mengu,1
saeed,al,2
duckworth,campaign,1
nzz,am,1
awacs,deployment,1
handcuffs,on,3
'writing,a,1
idly,by,1
regulator,that,1
ahmet,davutoglu,2
exclaimed,gentlemen,1
nze,who,1
feeling,that,15
con­trib­uted,to,1
assertiveness,in,2
longs,so,1
miscellanea,to,2
277,6,1
