Website,Num of Articles,,
cnet,,,
gizmodo,,,
techcrunch,,,
theverge,,,
wired,,,
bleacherreport,,,
reuters_sport,,,
theguardian_sport,,,
huffpost_politic,,,
politico,190,2017-09-26,2017/09/12
reuters_world,,,
theatlantic_politic,,,
etonline,252,2017-09-26,2017/09/19
,,,
theatlantic_entertainment,140,2017-09-25,2017/08/03
theguardian_culture,163,2017-09-26,2017-09-23
usmagazine,146,2017-09-22,2017/09/03
,,,
abc,224,2017-09-26,2017-09-07
cnbc,169,2017-09-26,2017/09/11
cnn,86,2017-09-25,2017/09/17
ibtimes,180,2017-09-25,2017/08/06
