Website,Num of Articles,,
theatlantic_science,167,1/2/18,8/4/17
theatlantic_technology,189,10/19/17,5/23/17
cnet,,,
gizmodo,,,
techcrunch,,,
theverge,,,
wired,,,
,,,
bleacherreport,,,
reuters_sport,240,1/2/18,11/25/17
theguardian_sport,,,
newsweek,489,12/19/17,
,,,
politico,,,
reuters_world,,,
theatlantic_politic,,,
,,,
etonline,,,
theatlantic_entertainment,,,
theguardian_culture,,,
usmagazine,,,
,,,
abc,195,12/8/17,11/28/17
cnbc,453,12/8/17,11/2/17
cnn,353,12/19/17,10/22/17
ibtimes,180,12/19/17,6/10/17
